case_id,country,debt_eur,debt_origin,debt_age_months,call_attempts,call_outcome,legal_asset_finding,recovery_score,contact_score,debt_score,ghost_score,priority_score,final_score,decision,reasoning
C011,PT,63271,sme_loan,25,5,voicemail,employment_income,90,50,90,40,76,76,PURSUE DIRECTLY,"strong recoverability, good contactability, high debt value, moderate public footprint"
C092,PT,7998,credit_card,8,7,rings_out,employment_income,90,20,30,20,62,62,PURSUE DIRECTLY,"strong recoverability, average contactability, low debt value, strong public footprint"
C069,DK,16730,personal_loan,18,3,busy,employment_income,90,40,50,60,60,60,PURSUE DIRECTLY,"strong recoverability, average contactability, medium debt value, moderate public footprint"
C095,PT,4345,personal_loan,26,7,rings_out,employment_income,90,20,30,40,57,57,PURSUE DIRECTLY,"strong recoverability, average contactability, low debt value, moderate public footprint"
C054,NL,69432,sme_loan,32,2,not_debtor,bank_account,80,10,90,82,56,56,ENRICH / INVESTIGATE,"strong recoverability, poor contactability, high debt value, weak public footprint"
C025,DE,988,utility,16,4,voicemail,employment_income,90,50,30,60,56,56,PURSUE DIRECTLY,"strong recoverability, good contactability, low debt value, moderate public footprint"
C053,ES,17502,personal_loan,36,6,rings_out,bank_account,80,20,50,60,53,53,PURSUE DIRECTLY,"strong recoverability, average contactability, medium debt value, moderate public footprint"
C083,PT,1799,utility,6,3,rings_out,bank_account,80,20,30,40,53,53,PURSUE DIRECTLY,"strong recoverability, average contactability, low debt value, moderate public footprint"
C042,PT,13023,consumer_loan,23,4,rings_out,employment_income,90,20,50,82,51,51,ENRICH / INVESTIGATE,"strong recoverability, average contactability, medium debt value, weak public footprint"
C056,ES,1162,telecom,21,4,not_debtor,vehicle,60,10,30,20,50,50,VERIFY CONTACT DATA,"moderate recoverability, poor contactability, low debt value, strong public footprint"
C048,BE,4417,consumer_loan,4,1,invalid_number,vehicle,60,5,30,20,49,49,VERIFY CONTACT DATA,"moderate recoverability, poor contactability, low debt value, strong public footprint"
C072,DE,84057,mortgage_shortfall,29,2,never_owed,no_assets_found,10,25,90,20,49,49,MONITOR / SOFT APPROACH,"weak recoverability, average contactability, high debt value, strong public footprint"
C028,IT,436,telecom,25,7,rings_out,pension,50,20,30,20,48,48,MONITOR / SOFT APPROACH,"moderate recoverability, average contactability, low debt value, strong public footprint"
C041,FR,1522,telecom,9,4,rings_out,bank_account,80,20,30,60,48,48,PURSUE DIRECTLY,"strong recoverability, average contactability, low debt value, moderate public footprint"
C084,PL,1162,telecom,16,1,relative,pension,50,25,30,20,48,48,MONITOR / SOFT APPROACH,"moderate recoverability, average contactability, low debt value, strong public footprint"
C013,PT,1636,utility,10,2,invalid_number,bank_account,80,5,30,60,46,46,PURSUE DIRECTLY,"strong recoverability, poor contactability, low debt value, moderate public footprint"
C018,DE,7378,consumer_loan,21,2,busy,bank_account,80,40,30,82,46,46,ENRICH / INVESTIGATE,"strong recoverability, average contactability, low debt value, weak public footprint"
C058,PL,15913,credit_card,8,2,invalid_number,bank_account,80,5,50,82,45,45,ENRICH / INVESTIGATE,"strong recoverability, poor contactability, medium debt value, weak public footprint"
C076,PT,23128,auto_loan,15,1,relative,assets_not_seizable,10,25,70,20,44,44,MONITOR / SOFT APPROACH,"weak recoverability, average contactability, high debt value, strong public footprint"
C100,IT,43540,sme_loan,15,3,denies_identity,no_assets_found,10,25,70,20,44,44,MONITOR / SOFT APPROACH,"weak recoverability, average contactability, high debt value, strong public footprint"
C079,ES,84236,mortgage_shortfall,28,3,denies_identity,assets_not_seizable,10,25,90,40,44,44,MONITOR / SOFT APPROACH,"weak recoverability, average contactability, high debt value, moderate public footprint"
C091,DE,52735,sme_loan,28,4,relative,assets_not_seizable,10,25,90,40,44,44,MONITOR / SOFT APPROACH,"weak recoverability, average contactability, high debt value, moderate public footprint"
C035,ES,20954,personal_loan,4,4,voicemail,no_assets_found,10,50,70,40,43,43,MONITOR / SOFT APPROACH,"weak recoverability, good contactability, high debt value, moderate public footprint"
